trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.95}",25,0,-110.98590985963631,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.8999999999999999}",20,0,-114.90425987308764,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.6, 'e': 0.8499999999999999}",20,12,-11.06215460745143,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.7999999999999998}",20,0,-136.49126515258584,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.6, 'e': 0.7499999999999998}",20,0,-144.4083243442999,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
6,False,"{'a': 0.6, 'e': 0.6999999999999997}",20,0,-135.8684814223758,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.6499999999999997}",30,0,-231.16280637382872,"{0: 15, 1: 1, 2: 10, 3: 1, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.5999999999999996}",20,0,-116.1399074148378,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
9,False,"{'a': 0.6, 'e': 0.5499999999999996}",20,0,-126.81665657188266,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.6, 'e': 0.4999999999999996}",25,0,-206.3093956334032,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
11,False,"{'a': 0.6, 'e': 0.4499999999999996}",30,0,-257.9987957322422,"{0: 14, 1: 1, 2: 8, 3: 5, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.39999999999999963}",30,0,-153.49212263302115,"{0: 17, 1: 0, 2: 9, 3: 4, 4: 0}",0
13,False,"{'a': 0.6, 'e': 0.34999999999999964}",30,0,-349.0427545528536,"{0: 10, 1: 1, 2: 8, 3: 8, 4: 3}",0
14,False,"{'a': 0.6, 'e': 0.29999999999999966}",25,0,-221.86595529621286,"{0: 14, 1: 1, 2: 3, 3: 4, 4: 3}",0
15,False,"{'a': 0.6, 'e': 0.24999999999999967}",30,0,-295.9143396024327,"{0: 15, 1: 0, 2: 7, 3: 4, 4: 4}",0
16,False,"{'a': 0.6, 'e': 0.19999999999999968}",30,0,-299.5685727667993,"{0: 14, 1: 1, 2: 7, 3: 4, 4: 4}",0
17,False,"{'a': 0.6, 'e': 0.1499999999999997}",35,0,-370.6841804122169,"{0: 14, 1: 1, 2: 10, 3: 6, 4: 4}",0
18,False,"{'a': 0.6, 'e': 0.09999999999999969}",25,0,-359.83451788531875,"{0: 6, 1: 0, 2: 10, 3: 5, 4: 4}",0
19,False,"{'a': 0.6, 'e': 0.049999999999999684}",30,0,-233.62896639153192,"{0: 14, 1: 0, 2: 9, 3: 6, 4: 1}",0
20,False,"{'a': 0.6, 'e': -3.191891195797325e-16}",20,0,-169.9877704094458,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-296.91805331165415,"{0: 15, 1: 0, 2: 7, 3: 4, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",25,0,-162.68715081892577,"{0: 15, 1: 0, 2: 6, 3: 2, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-132.99473644425052,"{0: 11, 1: 0, 2: 14, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-121.19170859260554,"{0: 10, 1: 0, 2: 7, 3: 3, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-174.11791798380028,"{0: 13, 1: 0, 2: 7, 3: 4, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",30,0,-475.7666887507194,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 10}",0
7,True,"{'a': 0, 'e': 0}",25,0,-291.92850744963715,"{0: 10, 1: 0, 2: 8, 3: 3, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-269.3464656768826,"{0: 8, 1: 0, 2: 4, 3: 4, 4: 4}",0
9,True,"{'a': 0, 'e': 0}",30,0,-313.0602050579704,"{0: 15, 1: 0, 2: 7, 3: 3, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",20,0,-99.07764501972444,"{0: 10, 1: 0, 2: 9, 3: 1, 4: 0}",0
