trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.998}",20,0,-138.77123996238637,"{0: 8, 1: 1, 2: 8, 3: 3, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.996}",35,0,-167.47233275587516,"{0: 24, 1: 2, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.7, 'e': 0.994}",20,0,-102.33261645415716,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.992}",25,0,-165.74360079762022,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.99}",25,0,-73.89058154548326,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.988}",30,0,-90.61342048919118,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.986}",30,0,-145.94430439679513,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.7, 'e': 0.984}",20,0,-59.33034716451711,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.982}",25,13,-29.93608502482418,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.7, 'e': 0.98}",20,11,-46.97432928123592,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.7, 'e': 0.978}",20,0,-101.09159088391272,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.7, 'e': 0.976}",25,6,-107.64991614088463,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 2}",1
13,False,"{'a': 0.7, 'e': 0.974}",20,0,-62.26334180614151,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.7, 'e': 0.972}",30,0,-115.78751832325918,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.7, 'e': 0.97}",30,0,-127.33332805233358,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.7, 'e': 0.968}",25,0,-81.73759012869687,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.966}",20,0,-165.4209142696315,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.7, 'e': 0.964}",25,0,-133.54530978604873,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.962}",25,0,-12.560258892388504,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.96}",20,0,-70.01550559746586,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.7, 'e': 0.958}",20,0,-93.99987002581115,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.7, 'e': 0.956}",30,0,-122.34114303222844,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.7, 'e': 0.954}",20,0,-102.63199420983948,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.7, 'e': 0.952}",35,0,-66.08640945865311,"{0: 24, 1: 6, 2: 4, 3: 1, 4: 0}",0
25,False,"{'a': 0.7, 'e': 0.95}",20,0,-187.9790561362465,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
26,False,"{'a': 0.7, 'e': 0.948}",20,0,-151.68369908316777,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
27,False,"{'a': 0.7, 'e': 0.946}",20,0,-117.62517149970147,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.944}",20,0,-112.16652191514363,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.7, 'e': 0.942}",20,0,-135.36218009538462,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
30,False,"{'a': 0.7, 'e': 0.94}",35,0,-135.45754778325593,"{0: 24, 1: 0, 2: 8, 3: 2, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.938}",25,0,-132.63668515231993,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.7, 'e': 0.9359999999999999}",25,0,-76.0310852426538,"{0: 17, 1: 1, 2: 5, 3: 2, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.9339999999999999}",20,0,-106.52532100607118,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0
34,False,"{'a': 0.7, 'e': 0.9319999999999999}",30,0,-99.82386233436534,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
35,False,"{'a': 0.7, 'e': 0.9299999999999999}",20,0,-43.58049395105759,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.7, 'e': 0.9279999999999999}",30,0,-79.5157901871003,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.7, 'e': 0.9259999999999999}",20,0,-142.2376868814646,"{0: 9, 1: 2, 2: 4, 3: 5, 4: 0}",0
38,False,"{'a': 0.7, 'e': 0.9239999999999999}",25,6,-41.96698483668082,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
39,False,"{'a': 0.7, 'e': 0.9219999999999999}",20,0,-84.85767371942069,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.7, 'e': 0.9199999999999999}",25,3,-42.88113215541484,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.9179999999999999}",30,0,-115.84320260471803,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.9159999999999999}",20,0,-79.2472240496661,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
43,False,"{'a': 0.7, 'e': 0.9139999999999999}",20,0,-124.53896476732899,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
44,False,"{'a': 0.7, 'e': 0.9119999999999999}",30,0,-107.8541804796395,"{0: 18, 1: 3, 2: 7, 3: 2, 4: 0}",0
45,False,"{'a': 0.7, 'e': 0.9099999999999999}",25,0,-36.98117736987362,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
46,False,"{'a': 0.7, 'e': 0.9079999999999999}",20,11,-81.93313520227498,"{0: 5, 1: 0, 2: 1, 3: 2, 4: 1}",1
47,False,"{'a': 0.7, 'e': 0.9059999999999999}",20,0,-61.546072067974436,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
