trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.44384529732419,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.34720908281196,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.2239760690873,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.1671896663015,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.82698413247006,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-136.29207892946928,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.54400341612444,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.93638440966072,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.83070696933842,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.64625464853333,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.57356429584016,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,14,8.286178114797114,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.89088223642025,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.6958322166219,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-239.65388362919995,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.20381270633209,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.96394276013507,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.03519821326077,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.39253368649761,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-234.77441661814223,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-193.9817900589821,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.918971017095,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",35,0,-237.65686520538176,"{0: 20, 1: 1, 2: 9, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.90346216465358,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-134.14308562815697,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-33.65885857588178,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-143.10164651065008,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-196.56676041024193,"{0: 14, 1: 4, 2: 7, 3: 4, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,16,-35.569401549420625,"{0: 8, 1: 4, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-73.86675481534257,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
